id,first_name,last_name,email,phone,ssn,date_of_birth,zip_code,gender,income,credit_score
1,John,Smith,john.smith@email.com,555-123-4567,123-45-6789,1985-03-15,90210,M,75000,720
2,Jane,Doe,jane.doe@company.org,555-234-5678,234-56-7890,1990-07-22,10001,F,82000,750
3,Michael,Johnson,mjohnson@example.net,555-345-6789,345-67-8901,1978-11-30,60601,M,95000,680
4,Sarah,Williams,swilliams@mail.com,555-456-7890,456-78-9012,1995-01-08,98101,F,62000,710
5,Robert,Brown,rbrown@email.org,555-567-8901,567-89-0123,1982-09-25,33101,M,88000,695
6,Emily,Davis,edavis@company.com,555-678-9012,678-90-1234,1988-04-12,75201,F,71000,735
7,David,Miller,dmiller@example.com,555-789-0123,789-01-2345,1992-06-18,85001,M,67000,700
8,Lisa,Wilson,lwilson@mail.net,555-890-1234,890-12-3456,1975-12-03,02101,F,105000,780
9,James,Moore,jmoore@email.com,555-901-2345,901-23-4567,1998-08-27,94101,M,55000,665
10,Jennifer,Taylor,jtaylor@company.org,555-012-3456,012-34-5678,1986-02-14,30301,F,79000,725
